fips,exp_police_pc,officers_pc,rev_prop_tax_pc,violent.crime.high,segregation.bw.high,segregation.lw.high
28121,197.52,29.46,424.18,FALSE,TRUE,TRUE
28127,99.24,47.66,365.56,FALSE,TRUE,TRUE
28137,166.28,68.81,425.74,FALSE,TRUE,TRUE
29021,349.8,72.32,232.4,TRUE,FALSE,FALSE
29027,178.75,30.77,135.7,TRUE,FALSE,FALSE
29043,114.13,23.2,43.25,FALSE,FALSE,FALSE
29051,343.14,74.53,286.34,FALSE,FALSE,FALSE
29071,197.33,27.15,129.92,FALSE,TRUE,FALSE
29077,288.3,17.03,147.48,FALSE,FALSE,FALSE
29095,493.58,19.29,381.43,FALSE,TRUE,TRUE
29099,180.08,14.53,78.48,FALSE,TRUE,FALSE
29107,166.18,28.21,99.15,FALSE,TRUE,TRUE
29113,138.82,26.23,119.86,FALSE,TRUE,FALSE
29145,69.86,25.54,34.66,TRUE,FALSE,FALSE
29219,143.44,40.25,116.3,TRUE,TRUE,FALSE
29221,95.1,62,61.27,TRUE,TRUE,FALSE
29225,77.87,24.28,35.42,FALSE,FALSE,FALSE
29510,882.42,427.49,261.46,TRUE,TRUE,FALSE
30013,318.1,71.3,628.03,TRUE,FALSE,FALSE
30063,232.34,48.04,756.37,TRUE,FALSE,FALSE
30111,209.75,43.99,627.8,TRUE,FALSE,FALSE
31025,122.71,133.53,515.31,TRUE,TRUE,TRUE
31055,221.25,32.99,508.48,TRUE,TRUE,TRUE
31153,225.77,42.04,393.38,FALSE,TRUE,TRUE
32003,407.85,21.58,450.06,FALSE,FALSE,TRUE
32031,278.19,27.87,696.14,FALSE,FALSE,FALSE
32510,336.88,176.43,465.38,TRUE,FALSE,FALSE
33013,240.15,8.29,1205.83,FALSE,FALSE,TRUE
33015,266.08,5.41,1302.77,FALSE,FALSE,FALSE
33017,222.81,13.01,1716.16,FALSE,FALSE,FALSE
34005,213.43,5.73,1079.51,FALSE,TRUE,TRUE
34013,498.55,16.46,2039.16,FALSE,TRUE,TRUE
34015,243.84,9,1273.37,FALSE,TRUE,TRUE
34017,397.7,42.07,1694.77,FALSE,TRUE,TRUE
34019,184.46,9.83,1148.3,FALSE,TRUE,TRUE
34023,299.18,7.32,1527.85,FALSE,TRUE,TRUE
34027,322.75,5.91,1626.17,FALSE,TRUE,TRUE
34031,333.11,15.43,1684.27,FALSE,TRUE,TRUE
34033,271.61,45.36,1284.16,FALSE,FALSE,TRUE
34035,291.59,10.5,1346.22,FALSE,TRUE,TRUE
34039,407.15,12.42,1960.58,FALSE,TRUE,TRUE
35001,344.29,65.75,436.66,TRUE,FALSE,FALSE
35013,252.02,29.14,270.73,TRUE,FALSE,FALSE
35043,209.61,25.95,351.93,FALSE,FALSE,FALSE
35045,313.31,53.05,323.04,TRUE,FALSE,FALSE
35049,258.36,134.54,517.13,FALSE,FALSE,TRUE
35061,153.62,35.27,210.22,TRUE,FALSE,FALSE
36001,340.44,21.64,694.05,FALSE,TRUE,FALSE
36027,202.73,12.91,877.77,FALSE,FALSE,FALSE
36061,3439.25,2203.26,12358.12,TRUE,TRUE,TRUE
36063,232.69,24.97,877.11,TRUE,TRUE,TRUE
36069,179.82,33.94,768.72,FALSE,TRUE,TRUE
36073,126.46,34.02,836.46,FALSE,TRUE,TRUE
36079,320.4,45.94,1127.49,FALSE,TRUE,TRUE
36093,223.17,46.82,889.09,TRUE,TRUE,FALSE
36117,145.25,13.42,793.7,FALSE,TRUE,TRUE
36119,456.76,7.18,2007.19,FALSE,TRUE,TRUE
37001,252.82,33.68,758.19,TRUE,FALSE,TRUE
37003,134.35,52.4,512.9,TRUE,FALSE,FALSE
37007,265.03,102.38,690.71,TRUE,TRUE,TRUE
37019,343.19,19.77,1266.5,FALSE,FALSE,FALSE
37021,348.23,26.81,1015.9,FALSE,FALSE,FALSE
37023,205.65,47.71,668.53,FALSE,FALSE,FALSE
37025,231.39,72.63,1171.26,FALSE,TRUE,TRUE
37027,178.11,47.17,656.95,FALSE,FALSE,FALSE
